Name,AgentShare,RegionName,Objective1,Objective2,Objective3,ObjData1,ObjData2,ObjData3,Objsort1,Objsort2,Objsort3,SearchRule,Quantity,MaturityThreshold,DecisionMethod,SpendLimit,Type
A1,A1,UK,LCOE,,,1,,,True,False,False,all,0.032715445,0,singleObj,99999999999,New
A2,A2,UK,LCOE,,,1,,,True,False,False,all,0.029457059,0,singleObj,99999999999,New
A3,A3,UK,LCOE,,,1,,,True,False,False,all,0.033830282,0,singleObj,99999999999,New
B4,B4,UK,LCOE,,,1,,,True,False,False,all,0.011509617,0,singleObj,99999999999,New
B5,B5,UK,LCOE,,,1,,,True,False,False,all,0.015782361,0,singleObj,99999999999,New
B6,B6,UK,LCOE,,,1,,,True,False,False,all,0.032423578,0,singleObj,99999999999,New
C7,C7,UK,LCOE,,,1,,,True,False,False,all,0.040114997,0,singleObj,99999999999,New
C8,C8,UK,LCOE,,,1,,,True,False,False,all,0.013366083,0,singleObj,99999999999,New
C9,C9,UK,LCOE,,,1,,,True,False,False,all,0.040722655,0,singleObj,99999999999,New
D10,D10,UK,LCOE,,,1,,,True,False,False,all,0.042732233,0,singleObj,99999999999,New
D11,D11,UK,LCOE,,,1,,,True,False,False,all,0.026947479,0,singleObj,99999999999,New
D12,D12,UK,LCOE,,,1,,,True,False,False,all,0.047887756,0,singleObj,99999999999,New
E13,E13,UK,LCOE,,,1,,,True,False,False,all,0.052146147,0,singleObj,99999999999,New
E14,E14,UK,LCOE,,,1,,,True,False,False,all,0.044679609,0,singleObj,99999999999,New
F15,F15,UK,LCOE,,,1,,,True,False,False,all,0.076147992,0,singleObj,99999999999,New
F16,F16,UK,LCOE,,,1,,,True,False,False,all,0.010327794,0,singleObj,99999999999,New
G17,G17,UK,LCOE,,,1,,,True,False,False,all,0.065338144,0,singleObj,99999999999,New
G18,G18,UK,LCOE,,,1,,,True,False,False,all,0.058656293,0,singleObj,99999999999,New
H19,H19,UK,LCOE,,,1,,,True,False,False,all,0.0543962,0,singleObj,99999999999,New
H20,H20,UK,LCOE,,,1,,,True,False,False,all,0.035454691,0,singleObj,99999999999,New
I21,I21,UK,LCOE,,,1,,,True,False,False,all,0.046725072,0,singleObj,99999999999,New
I22,I22,UK,LCOE,,,1,,,True,False,False,all,0.055536113,0,singleObj,99999999999,New
J23,J23,UK,LCOE,,,1,,,True,False,False,all,0.049909295,0,singleObj,99999999999,New
J24,J24,UK,LCOE,,,1,,,True,False,False,all,0.083193107,0,singleObj,99999999999,New
s1,s1,UK,LCOE,,,1,,,True,False,False,same_enduse,1.0,0,singleObj,99999999999,New
