commodity,consumption,period,region,season,timeslice,units_prices,year
nga,117.10540000000,Night,UK,W,0,12.552,2010
bog,0.04300000000,Night,UK,W,0,0,2010
biomass,0.03610000000,Night,UK,W,0,10.019,2010
elc,147.83220000000,Night,UK,W,0,43.34267522,2010
oil,9.10970000000,Night,UK,W,0,19.7944343,2010
hco,15.98600000000,Night,UK,W,0,19.7944343,2010
lfo,4.89830000000,Night,UK,W,0,19.7944343,2010
wood,2.72800000000,Night,UK,W,0,10.019,2010
ser.cooling.high-consumption,13.45530000000,Night,UK,W,0,0,2010
ser.cooking,6.11790000000,Night,UK,W,0,0,2010
ser.computing,2.07290000000,Night,UK,W,0,0,2010
ser.space-heat.high-consumption,16.45290000000,Night,UK,W,0,0,2010
ser.space-heat.low-consumption,8.30090000000,Night,UK,W,0,0,2010
ser.lighting.office,22.15690000000,Night,UK,W,0,0,2010
ser.lighting.other,10.00290000000,Night,UK,W,0,0,2010
ser.other,1.91950000000,Night,UK,W,0,0,2010
ser.refrigeration,4.95000000000,Night,UK,W,0,0,2010
ser.hot-water.high-consumption,3.98410000000,Night,UK,W,0,0,2010
ser.hot-water.low-consumption,1.69520000000,Night,UK,W,0,0,2010
res.cooking.other,2.47400000000,Night,UK,W,0,0,2010
res.cooking.hobs,3.37500000000,Night,UK,W,0,0,2010
res.cooking.ovens,3.03750000000,Night,UK,W,0,0,2010
res.consumer-electronics.tv,5.72900000000,Night,UK,W,0,0,2010
res.freezers,1.53700000000,Night,UK,W,0,0,2010
res.computers,1.63830000000,Night,UK,W,0,0,2010
res.refrigerators,3.51680000000,Night,UK,W,0,0,2010
res.lighting,17.29980000000,Night,UK,W,0,0,2010
res.other,2.44290000000,Night,UK,W,0,0,2010
res.wet.appliances,4.62210000000,Night,UK,W,0,0,2010
res.space-heat.existing-average,90.81420000000,Night,UK,W,0,0,2010
res.space-heat.new-average,0.09810000000,Night,UK,W,0,0,2010
res.hot-water.existing-average,23.11550000000,Night,UK,W,0,0,2010
res.hot-water.new-average,0.10940000000,Night,UK,W,0,0,2010
nga,295.85360000000,Day,UK,W,1,12.552,2010
bog,0.01780000000,Day,UK,W,1,0,2010
biomass,0.01500000000,Day,UK,W,1,10.019,2010
