Name,AgentShare,RegionName,Objective1,Objective2,Objective3,ObjData1,ObjData2,ObjData3,Objsort1,Objsort2,Objsort3,SearchRule,Quantity,MaturityThreshold,DecisionMethod,SpendLimit,Type
A1,A1,UK,LCOE,,,1,,,True,False,False,all,0.032715445085653785,0,singleObj,99999999999,New
A2,A2,UK,LCOE,,,1,,,True,False,False,all,0.02945705852575174,0,singleObj,99999999999,New
A3,A3,UK,LCOE,,,1,,,True,False,False,all,0.03383028219058356,0,singleObj,99999999999,New
B6,B6,UK,LCOE,,,1,,,True,False,False,all,0.032423577860758,0,singleObj,99999999999,New
C7,C7,UK,LCOE,,,1,,,True,False,False,all,0.040114996943052476,0,singleObj,99999999999,New
C9,C9,UK,LCOE,,,1,,,True,False,False,all,0.040722654935868276,0,singleObj,99999999999,New
D10,D10,UK,LCOE,,,1,,,True,False,False,all,0.042732232549904776,0,singleObj,99999999999,New
D11,D11,UK,LCOE,,,1,,,True,False,False,all,0.026947478862508534,0,singleObj,99999999999,New
D12,D12,UK,LCOE,,,1,,,True,False,False,all,0.04788775607162938,0,singleObj,99999999999,New
E13,E13,UK,LCOE,,,1,,,True,False,False,all,0.052146146729944824,0,singleObj,99999999999,New
E14,E14,UK,LCOE,,,1,,,True,False,False,all,0.044679608952078245,0,singleObj,99999999999,New
H20,H20,UK,LCOE,,,1,,,True,False,False,all,0.03545469076192973,0,singleObj,99999999999,New
I21,I21,UK,LCOE,,,1,,,True,False,False,all,0.046725071880651114,0,singleObj,99999999999,New
I22,I22,UK,LCOE,,,1,,,True,False,False,all,0.05553611277648021,0,singleObj,99999999999,New
J23,J23,UK,LCOE,,,1,,,True,False,False,all,0.049909295457178,0,singleObj,99999999999,New
G17,G17,UK,LCOE,,,1,,,True,False,False,all,0.06533814390346017,0,singleObj,99999999999,New
G18,G18,UK,LCOE,,,1,,,True,False,False,all,0.05865629274163302,0,singleObj,99999999999,New
H19,H19,UK,LCOE,,,1,,,True,False,False,all,0.0543961998262671,0,singleObj,99999999999,New
J24,J24,UK,LCOE,,,1,,,True,False,False,all,0.08319310697509716,0,singleObj,99999999999,New
F15,F15,UK,LCOE,,,1,,,True,False,False,all,0.07614799207630081,0,singleObj,99999999999,New
B5,B5,UK,LCOE,,,1,,,True,False,False,all,0.01578236133309382,0,singleObj,99999999999,New
C8,C8,UK,LCOE,,,1,,,True,False,False,all,0.013366083487645168,0,singleObj,99999999999,New
B4,B4,UK,LCOE,,,1,,,True,False,False,all,0.011509616548963828,0,singleObj,99999999999,New
F16,F16,UK,LCOE,,,1,,,True,False,False,all,0.01032779352356617,0,singleObj,99999999999,New
