ProcessName,2010,2015,2020,2025,2030,2035,2040,2045,2050,RegionName,Unit
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],430.569580972826,369.05964083385084,307.5497006948757,246.03976055590053,215.284790486413,153.77485034743785,123.01988027795028,92.26491020846271,61.50994013897508,UK,PJ/y
SCHP-CCG00 [SER.CHP: .00.COMBINED-CYCLE.NGA.],1.37052112346269,1.0659608738043145,0.7614006241459389,0.4568403744875633,0.3045602496583757,0.0,0.0,0.0,0.0,UK,PJ/y
SCHP-GES00 [SER.CHP: .00.GAS-ENGINE.BOG.],0.33800162928082,0.22533441952054667,0.11266720976027333,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
SCHP-STW00 [SER.CHP: .00.STEAM-TURBINE.BIOMASS.],0.435776931942132,0.3389376137327693,0.24209829552340667,0.14525897731404402,0.0968393182093627,0.0,0.0,0.0,0.0,UK,PJ/y
SCKELC000 [SER.COOKING: .00.ELC.],43.2174789116613,25.93048734699678,8.64349578233226,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
SCKNGA000 [SER.COOKING: .00.NGA.],48.6456777721722,29.18740666330332,9.729135554434443,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
SCKOTH000 [SER.COOKING: .00.OIL.HEAT.],6.03144717559711,3.618868305358266,1.2062894351194222,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
SCPECOMP00 [SER.COMPUTERS: .00.],19.8997361675894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],1608.65135336701,1149.0366809764357,689.4220085858614,229.807336195287,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
SHHBLRRC00 [SER.HEAT.HIGH-CONSUMPTION: .00.HCO.BOILER.STD.RADIATOR.],2.25964535621425,1.614032397295893,0.9684194383775357,0.3228064794591785,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
SHHBLRRE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.BOILER.STD.RADIATOR.],24.1460100016665,17.247150001190356,10.348290000714215,3.4494300002380704,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
SHHBLRRG00 [SER.HEAT.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],605.869504440015,432.76393174286784,259.6583590457207,86.55278634857359,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],80.6604720349145,57.61462288208179,34.568773729249074,11.522924576416358,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
SHHBLRRW00 [SER.HEAT.HIGH-CONSUMPTION: .00.WOD.BOILER.STD.RADIATOR.],10.1886791892567,7.277627992326214,4.366576795395728,1.4555255984652433,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
SHHDAIR00 [SER.HEAT.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],111.898066684572,95.912628586776,79.92719048898,63.941752391184,55.949033342286,39.96359524449001,31.970876195592,23.978157146694002,15.985438097795992,UK,PJ/y
SHHDRAD00 [SER.HEAT.HIGH-CONSUMPTION: .00.HTP.RADIATOR.],740.430264951204,634.6545128153177,528.8787606794315,423.1030085435451,370.215132475602,264.43938033971574,211.55150427177261,158.66362820382938,105.77575213588625,UK,PJ/y
