ProcessName,RegionName,Time,Level,NGA,BOG,BIOMASS,ELC,OIL,HCO,LFO,WOOD,HYDROGEN,PELLETS,SOLAR,KEROSENE
Unit,-,year,-,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
RCEOTHER00 [RES.COOKING: .00.OTHER.KETTLE.MICROWAVE]; RCEOTHER01 [RES.COOKING: .01.OTHER.KETTLE.MICROWAVE],UK,2010,fixed,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCHEHOB00 [RES.COOKING: .00.HOB.ELECTRIC.]; RCHEHOB01 [RES.COOKING: .01.HOB.ELECTRIC.],UK,2010,fixed,0.0,0.0,0.0,0.9119380218086316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.]; RCHEOVEN01 [RES.COOKING: .01.OVEN.ELECTRIC.],UK,2010,fixed,0.0,0.0,0.0,0.6587480994797755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCHGHOB00 [RES.COOKING: .00.HOB.GAS.]; RCHGHOB01 [RES.COOKING: .01.HOB.GAS.],UK,2010,fixed,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCHGOVEN00 [RES.COOKING: .00.OVEN.GAS.]; RCHGOVEN01 [RES.COOKING: .01.OVEN.GAS.],UK,2010,fixed,0.8964305478643068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCHHHOB01 [RES.COOKING: .01.HOB.HYDROGEN.],UK,2010,fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0
RCHHOVEN01 [RES.COOKING: .01.OVEN.HYDROGEN.],UK,2010,fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8964305478643068,0.0,0.0,0.0
RCHPEA-CCG00 [RES.CHP.EXISTING-AVERAGE: .00.COMBINED-CYCLE.NGA.],UK,2010,fixed,1.8346126773399576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCHPEA-CCG01 [RES.CHP.EXISTING-AVERAGE: .01.COMBINED-CYCLE.NGA.]; RCHPNA-CCG01 [RES.CHP.NEW-AVERAGE: .01.COMBINED-CYCLE.NGA.],UK,2010,fixed,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCHPEA-CCH01 [RES.CHP.EXISTING-AVERAGE: .01.COMBINED-CYCLE.HYG.]; RCHPNA-CCH01 [RES.CHP.NEW-AVERAGE: .01.COMBINED-CYCLE.HYG.],UK,2010,fixed,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCHPEA-FCH01 [RES.CHP.EXISTING-AVERAGE: .01.FUEL-CELL.HYG.]; RCHPNA-FCH01 [RES.CHP.NEW-AVERAGE: .01.FUEL-CELL.HYG.],UK,2010,fixed,0.0,0.0,0.0,1.2048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCHPEA-STW01 [RES.CHP.EXISTING-AVERAGE: .01.STEAM-TURBINE.BIOMASS.]; RCHPNA-STW01 [RES.CHP.NEW-AVERAGE: .01.STEAM-TURBINE.BIOMASS.],UK,2010,fixed,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAIRCON00 [RES.AIR-CONDITIONER: .00.]; REAIRCON01 [RES.AIR-CONDITIONER: .01.],UK,2010,fixed,0.0,0.0,0.0,1.7999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.]; REAUDVIS01 [RES.CONSUMER-ELECTRONICS: .01.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,2010,fixed,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,fixed,0.0,0.0,0.0,1.1650594910760577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECOLFRE01 [RES.FREEZERS: .01.CLASS-A+.],UK,2010,fixed,0.0,0.0,0.0,0.9597802411840624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECOLFRE02 [RES.FREEZERS: .01.CLASS-A+++.],UK,2010,fixed,0.0,0.0,0.0,0.7852747427869615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,fixed,0.0,0.0,0.0,1.3101157518850226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECOLREF01 [RES.REFRIGERATORS: .01.CLASS-A+.],UK,2010,fixed,0.0,0.0,0.0,1.0792781157998033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECOLREF02 [RES.REFRIGERATORS: .01.CLASS-A+++.],UK,2010,fixed,0.0,0.0,0.0,0.8830457311089329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECOMPUT00 [RES.COMPUTERS: .00.]; RECOMPUT01 [RES.COMPUTERS: .01.],UK,2010,fixed,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.]; RELITCON01 [RES.LIGHTING: .01.CONVENTIONAL.],UK,2010,fixed,0.0,0.0,0.0,0.0932385148059533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.]; RELITENS01 [RES.LIGHTING: .01.ENERGY-SAVING.],UK,2010,fixed,0.0,0.0,0.0,0.0396042606421287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RELITLED00 [RES.LIGHTING: .00.LED.]; RELITLED01 [RES.LIGHTING: .01.LED.],UK,2010,fixed,0.0,0.0,0.0,0.0794594594594597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REOTHER00 [RES.OTHER: .00.ALL.]; REOTHER01 [RES.OTHER: .01.ALL.],UK,2010,fixed,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.]; REWETALL01 [RES.WET-APPLIANCES: .01.WASHING-MACHINE.DRIER.DISHWASHER.],UK,2010,fixed,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHEAAHBRE01 [RES.HEAT.EXISTING-AVERAGE: .01.ELC.HEAT PUMP.AIR.NGA.BOILER.RADIATOR.]; RHEAAHBUE01 [RES.HEAT.EXISTING-AVERAGE: .01.ELC.HEAT PUMP.AIR.NGA.BOILER.UNDERFLOOR.],UK,2010,fixed,0.0,0.0,0.0,1.1904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
