ProcessName,ELC,NGA,OIL,HCO,WOOD,SOLAR,HYDROGEN,BIOMASS,KEROSENE,PELLETS,Level,RegionName,Time
Unit,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,-,-,year
RCEOTHER00 [RES.COOKING: .00.OTHER.KETTLE.MICROWAVE],1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHEHOB00 [RES.COOKING: .00.HOB.ELECTRIC.],0.9119380218086316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.],0.6587480994797755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHGHOB00 [RES.COOKING: .00.HOB.GAS.],0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHGOVEN00 [RES.COOKING: .00.OVEN.GAS.],0.0,0.8964305478643068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHPEA-CCG00 [RES.CHP.EXISTING-AVERAGE: .00.COMBINED-CYCLE.NGA.],0.0,1.8346126773399576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
REAIRCON00 [RES.AIR-CONDITIONER: .00.],1.7999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RECOLFRE00 [RES.FREEZERS: .00.],1.1650594910760577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RECOLREF00 [RES.REFRIGERATORS: .00.],1.3101157518850226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RECOMPUT00 [RES.COMPUTERS: .00.],1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],0.09323851480595333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],0.039604260642128776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RELITLED00 [RES.LIGHTING: .00.LED.],0.07945945945945973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
REOTHER00 [RES.OTHER: .00.ALL.],1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEAAHPRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.HEAT PUMP.AIR.RADIATOR.],0.3677250002883452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLCRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.BOILER.CON.RADIATOR.],0.0,1.1256456152557688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLCRO00 [RES.HEAT.EXISTING-AVERAGE: .00.OIL.BOILER.CON.RADIATOR.],0.0,0.0,1.5837180859857043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLRRC00 [RES.HEAT.EXISTING-AVERAGE: .00.HCO.BOILER.STD.RADIATOR.],0.0,0.0,0.0,2.2981660326984947,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
