commodity,consumption,period,region,season,timeslice,units_prices,year
elc,112.77630000000,Night,UK,W,0,43.34267522,2010
nga,82.87270000000,Night,UK,W,0,12.552,2010
oil,8.25750000000,Night,UK,W,0,19.7944343,2010
hco,1.87330000000,Night,UK,W,0,19.7944343,2010
wood,0.40430000000,Night,UK,W,0,10.019,2010
res.cooking.other,2.47400000000,Night,UK,W,0,0,2010
res.cooking.hobs,3.37500000000,Night,UK,W,0,0,2010
res.cooking.ovens,3.03750000000,Night,UK,W,0,0,2010
res.consumer-electronics.tv,5.72900000000,Night,UK,W,0,0,2010
res.freezers,1.53700000000,Night,UK,W,0,0,2010
res.computers,1.63830000000,Night,UK,W,0,0,2010
res.refrigerators,3.51680000000,Night,UK,W,0,0,2010
res.lighting,17.29980000000,Night,UK,W,0,0,2010
res.other,2.44290000000,Night,UK,W,0,0,2010
res.wet.appliances,4.62210000000,Night,UK,W,0,0,2010
res.space-heat.existing-average,90.81420000000,Night,UK,W,0,0,2010
res.space-heat.new-average,0.09810000000,Night,UK,W,0,0,2010
res.hot-water.existing-average,23.11550000000,Night,UK,W,0,0,2010
res.hot-water.new-average,0.10940000000,Night,UK,W,0,0,2010
elc,58.31370000000,Day,UK,W,1,43.34267522,2010
nga,243.89730000000,Day,UK,W,1,12.552,2010
oil,25.20720000000,Day,UK,W,1,19.7944343,2010
hco,5.71860000000,Day,UK,W,1,19.7944343,2010
wood,1.23430000000,Day,UK,W,1,10.019,2010
res.cooking.other,0.49480000000,Day,UK,W,1,0,2010
res.cooking.hobs,0.67500000000,Day,UK,W,1,0,2010
res.cooking.ovens,0.60750000000,Day,UK,W,1,0,2010
res.consumer-electronics.tv,2.29160000000,Day,UK,W,1,0,2010
res.freezers,0.43920000000,Day,UK,W,1,0,2010
res.computers,0.89360000000,Day,UK,W,1,0,2010
res.refrigerators,1.00480000000,Day,UK,W,1,0,2010
res.lighting,69.19920000000,Day,UK,W,1,0,2010
res.other,0.97720000000,Day,UK,W,1,0,2010
res.wet.appliances,1.84880000000,Day,UK,W,1,0,2010
res.space-heat.existing-average,30.20280000000,Day,UK,W,1,0,2010
res.space-heat.new-average,0.03260000000,Day,UK,W,1,0,2010
res.hot-water.existing-average,4.56860000000,Day,UK,W,1,0,2010
res.hot-water.new-average,0.02160000000,Day,UK,W,1,0,2010
elc,36.60130000000,Peak,UK,W,2,43.34267522,2010
nga,119.61920000000,Peak,UK,W,2,12.552,2010
oil,12.36070000000,Peak,UK,W,2,19.7944343,2010
hco,2.80420000000,Peak,UK,W,2,19.7944343,2010
wood,0.60530000000,Peak,UK,W,2,10.019,2010
res.cooking.other,0.24740000000,Peak,UK,W,2,0,2010
res.cooking.hobs,0.33750000000,Peak,UK,W,2,0,2010
res.cooking.ovens,0.30380000000,Peak,UK,W,2,0,2010
res.consumer-electronics.tv,1.43230000000,Peak,UK,W,2,0,2010
res.freezers,0.76850000000,Peak,UK,W,2,0,2010
res.computers,0.23830000000,Peak,UK,W,2,0,2010
res.refrigerators,1.75840000000,Peak,UK,W,2,0,2010
res.lighting,17.29980000000,Peak,UK,W,2,0,2010
res.other,0.85500000000,Peak,UK,W,2,0,2010
res.space-heat.existing-average,34.50570000000,Peak,UK,W,2,0,2010
res.space-heat.new-average,0.03730000000,Peak,UK,W,2,0,2010
res.hot-water.existing-average,15.31810000000,Peak,UK,W,2,0,2010
res.hot-water.new-average,0.07250000000,Peak,UK,W,2,0,2010
elc,61.60760000000,Evening,UK,W,3,43.34267522,2010
nga,81.38330000000,Evening,UK,W,3,12.552,2010
oil,8.20300000000,Evening,UK,W,3,19.7944343,2010
hco,1.86100000000,Evening,UK,W,3,19.7944343,2010
wood,0.40170000000,Evening,UK,W,3,10.019,2010
res.cooking.other,1.73180000000,Evening,UK,W,3,0,2010
res.cooking.hobs,2.36250000000,Evening,UK,W,3,0,2010
res.cooking.ovens,2.12630000000,Evening,UK,W,3,0,2010
res.consumer-electronics.tv,2.00520000000,Evening,UK,W,3,0,2010
res.freezers,0.32940000000,Evening,UK,W,3,0,2010
res.computers,0.80420000000,Evening,UK,W,3,0,2010
res.refrigerators,0.75360000000,Evening,UK,W,3,0,2010
res.lighting,69.19920000000,Evening,UK,W,3,0,2010
res.other,0.73290000000,Evening,UK,W,3,0,2010
res.wet.appliances,1.38660000000,Evening,UK,W,3,0,2010
res.space-heat.existing-average,50.45960000000,Evening,UK,W,3,0,2010
res.space-heat.new-average,0.05450000000,Evening,UK,W,3,0,2010
res.hot-water.existing-average,11.12920000000,Evening,UK,W,3,0,2010
res.hot-water.new-average,0.05270000000,Evening,UK,W,3,0,2010
elc,133.81830000000,Night,UK,P,4,43.34267522,2010
nga,63.80500000000,Night,UK,P,4,12.552,2010
oil,6.28150000000,Night,UK,P,4,19.7944343,2010
hco,1.42500000000,Night,UK,P,4,19.7944343,2010
wood,0.30760000000,Night,UK,P,4,10.019,2010
res.cooking.other,2.47400000000,Night,UK,P,4,0,2010
res.cooking.hobs,3.37500000000,Night,UK,P,4,0,2010
res.cooking.ovens,3.03750000000,Night,UK,P,4,0,2010
res.consumer-electronics.tv,5.72900000000,Night,UK,P,4,0,2010
res.freezers,1.53700000000,Night,UK,P,4,0,2010
res.computers,1.63830000000,Night,UK,P,4,0,2010
res.refrigerators,3.51680000000,Night,UK,P,4,0,2010
res.lighting,17.29980000000,Night,UK,P,4,0,2010
res.other,2.44290000000,Night,UK,P,4,0,2010
res.wet.appliances,4.62210000000,Night,UK,P,4,0,2010
res.space-heat.existing-average,112.94290000000,Night,UK,P,4,0,2010
res.space-heat.new-average,0.12200000000,Night,UK,P,4,0,2010
res.hot-water.existing-average,23.27050000000,Night,UK,P,4,0,2010
res.hot-water.new-average,0.11020000000,Night,UK,P,4,0,2010
elc,60.74460000000,Day,UK,P,5,43.34267522,2010
nga,143.06460000000,Day,UK,P,5,12.552,2010
oil,14.75840000000,Day,UK,P,5,19.7944343,2010
hco,3.34810000000,Day,UK,P,5,19.7944343,2010
wood,0.72270000000,Day,UK,P,5,10.019,2010
res.cooking.other,0.49480000000,Day,UK,P,5,0,2010
res.cooking.hobs,0.67500000000,Day,UK,P,5,0,2010
res.cooking.ovens,0.60750000000,Day,UK,P,5,0,2010
res.consumer-electronics.tv,2.29160000000,Day,UK,P,5,0,2010
res.freezers,0.43920000000,Day,UK,P,5,0,2010
res.computers,0.89360000000,Day,UK,P,5,0,2010
res.refrigerators,1.00480000000,Day,UK,P,5,0,2010
res.lighting,69.19920000000,Day,UK,P,5,0,2010
res.other,0.97720000000,Day,UK,P,5,0,2010
res.wet.appliances,1.84880000000,Day,UK,P,5,0,2010
res.space-heat.existing-average,38.26970000000,Day,UK,P,5,0,2010
res.space-heat.new-average,0.04130000000,Day,UK,P,5,0,2010
res.hot-water.existing-average,4.65950000000,Day,UK,P,5,0,2010
res.hot-water.new-average,0.02210000000,Day,UK,P,5,0,2010
elc,42.46280000000,Peak,UK,P,6,43.34267522,2010
nga,77.93000000000,Peak,UK,P,6,12.552,2010
oil,8.04080000000,Peak,UK,P,6,19.7944343,2010
hco,1.82420000000,Peak,UK,P,6,19.7944343,2010
wood,0.39370000000,Peak,UK,P,6,10.019,2010
res.cooking.other,0.24740000000,Peak,UK,P,6,0,2010
res.cooking.hobs,0.33750000000,Peak,UK,P,6,0,2010
res.cooking.ovens,0.30380000000,Peak,UK,P,6,0,2010
res.consumer-electronics.tv,1.43230000000,Peak,UK,P,6,0,2010
res.freezers,0.76850000000,Peak,UK,P,6,0,2010
res.computers,0.23830000000,Peak,UK,P,6,0,2010
res.refrigerators,1.75840000000,Peak,UK,P,6,0,2010
res.lighting,17.29980000000,Peak,UK,P,6,0,2010
res.other,0.85500000000,Peak,UK,P,6,0,2010
res.space-heat.existing-average,42.48090000000,Peak,UK,P,6,0,2010
res.space-heat.new-average,0.04590000000,Peak,UK,P,6,0,2010
res.hot-water.existing-average,15.49450000000,Peak,UK,P,6,0,2010
res.hot-water.new-average,0.07340000000,Peak,UK,P,6,0,2010
elc,74.60450000000,Evening,UK,P,7,43.34267522,2010
nga,47.10780000000,Evening,UK,P,7,12.552,2010
oil,4.65130000000,Evening,UK,P,7,19.7944343,2010
hco,1.05520000000,Evening,UK,P,7,19.7944343,2010
wood,0.22780000000,Evening,UK,P,7,10.019,2010
res.cooking.other,1.73180000000,Evening,UK,P,7,0,2010
res.cooking.hobs,2.36250000000,Evening,UK,P,7,0,2010
res.cooking.ovens,2.12630000000,Evening,UK,P,7,0,2010
res.consumer-electronics.tv,2.00520000000,Evening,UK,P,7,0,2010
res.freezers,0.32940000000,Evening,UK,P,7,0,2010
res.computers,0.80420000000,Evening,UK,P,7,0,2010
res.refrigerators,0.75360000000,Evening,UK,P,7,0,2010
res.lighting,69.19920000000,Evening,UK,P,7,0,2010
res.other,0.73290000000,Evening,UK,P,7,0,2010
res.wet.appliances,1.38660000000,Evening,UK,P,7,0,2010
res.space-heat.existing-average,63.08340000000,Evening,UK,P,7,0,2010
res.space-heat.new-average,0.06810000000,Evening,UK,P,7,0,2010
res.hot-water.existing-average,11.12920000000,Evening,UK,P,7,0,2010
res.hot-water.new-average,0.05270000000,Evening,UK,P,7,0,2010
elc,41.99210000000,Night,UK,S,8,43.34267522,2010
nga,23.02510000000,Night,UK,S,8,12.552,2010
oil,2.05680000000,Night,UK,S,8,19.7944343,2010
hco,0.46660000000,Night,UK,S,8,19.7944343,2010
wood,0.10070000000,Night,UK,S,8,10.019,2010
res.cooking.other,2.47400000000,Night,UK,S,8,0,2010
res.cooking.hobs,3.37500000000,Night,UK,S,8,0,2010
res.cooking.ovens,3.03750000000,Night,UK,S,8,0,2010
res.consumer-electronics.tv,5.72900000000,Night,UK,S,8,0,2010
res.freezers,1.84450000000,Night,UK,S,8,0,2010
res.computers,1.31060000000,Night,UK,S,8,0,2010
res.refrigerators,4.22010000000,Night,UK,S,8,0,2010
res.lighting,13.83980000000,Night,UK,S,8,0,2010
res.other,2.44290000000,Night,UK,S,8,0,2010
res.wet.appliances,4.62210000000,Night,UK,S,8,0,2010
res.space-heat.existing-average,8.79020000000,Night,UK,S,8,0,2010
res.space-heat.new-average,0.00950000000,Night,UK,S,8,0,2010
res.hot-water.existing-average,20.24170000000,Night,UK,S,8,0,2010
res.hot-water.new-average,0.09580000000,Night,UK,S,8,0,2010
elc,23.59680000000,Day,UK,S,9,43.34267522,2010
nga,30.98800000000,Day,UK,S,9,12.552,2010
oil,3.14550000000,Day,UK,S,9,19.7944343,2010
hco,0.71360000000,Day,UK,S,9,19.7944343,2010
wood,0.15400000000,Day,UK,S,9,10.019,2010
res.cooking.other,0.49480000000,Day,UK,S,9,0,2010
res.cooking.hobs,0.67500000000,Day,UK,S,9,0,2010
res.cooking.ovens,0.60750000000,Day,UK,S,9,0,2010
res.consumer-electronics.tv,2.29160000000,Day,UK,S,9,0,2010
res.freezers,0.52700000000,Day,UK,S,9,0,2010
res.computers,0.71490000000,Day,UK,S,9,0,2010
res.refrigerators,1.20580000000,Day,UK,S,9,0,2010
res.lighting,55.35940000000,Day,UK,S,9,0,2010
res.other,0.97720000000,Day,UK,S,9,0,2010
res.wet.appliances,1.84880000000,Day,UK,S,9,0,2010
res.space-heat.existing-average,2.15530000000,Day,UK,S,9,0,2010
res.space-heat.new-average,0.00230000000,Day,UK,S,9,0,2010
res.hot-water.existing-average,3.72930000000,Day,UK,S,9,0,2010
res.hot-water.new-average,0.01770000000,Day,UK,S,9,0,2010
elc,14.44320000000,Peak,UK,S,10,43.34267522,2010
nga,14.01730000000,Peak,UK,S,10,12.552,2010
oil,1.41840000000,Peak,UK,S,10,19.7944343,2010
hco,0.32180000000,Peak,UK,S,10,19.7944343,2010
wood,0.06950000000,Peak,UK,S,10,10.019,2010
res.cooking.other,0.24740000000,Peak,UK,S,10,0,2010
res.cooking.hobs,0.33750000000,Peak,UK,S,10,0,2010
res.cooking.ovens,0.30380000000,Peak,UK,S,10,0,2010
res.consumer-electronics.tv,1.43230000000,Peak,UK,S,10,0,2010
res.freezers,0.92220000000,Peak,UK,S,10,0,2010
res.computers,0.19060000000,Peak,UK,S,10,0,2010
