commodity,period,prices,region,season,timeslice,units_prices,year
elc,Night,,UK,W,0,43.34267522,2010
nga,Night,,UK,W,0,12.552,2010
oil,Night,,UK,W,0,19.7944343,2010
hco,Night,,UK,W,0,19.7944343,2010
wood,Night,,UK,W,0,10.019,2010
solar,Night,,UK,W,0,0.0,2010
hydrogen,Night,,UK,W,0,105.016835,2010
biomass,Night,,UK,W,0,10.019,2010
kerosene,Night,,UK,W,0,18.21616657,2010
pellets,Night,,UK,W,0,20.58703511,2010
res.cooking.other,Night,,UK,W,0,0,2010
res.cooking.hobs,Night,,UK,W,0,0,2010
res.cooking.ovens,Night,,UK,W,0,0,2010
res.consumer-electronics.tv,Night,,UK,W,0,0,2010
res.freezers,Night,,UK,W,0,0,2010
res.cooling,Night,,UK,W,0,0,2010
res.computers,Night,,UK,W,0,0,2010
res.refrigerators,Night,,UK,W,0,0,2010
res.lighting,Night,,UK,W,0,0,2010
res.other,Night,,UK,W,0,0,2010
res.wet.appliances,Night,,UK,W,0,0,2010
res.space-heat.existing-average,Night,,UK,W,0,0,2010
res.space-heat.new-average,Night,,UK,W,0,0,2010
res.hot-water.existing-average,Night,,UK,W,0,0,2010
res.hot-water.new-average,Night,,UK,W,0,0,2010
CO2f,Night,,UK,W,0,0,2010
elc,Day,,UK,W,1,43.34267522,2010
nga,Day,,UK,W,1,12.552,2010
oil,Day,,UK,W,1,19.7944343,2010
hco,Day,,UK,W,1,19.7944343,2010
wood,Day,,UK,W,1,10.019,2010
solar,Day,,UK,W,1,0.0,2010
hydrogen,Day,,UK,W,1,105.016835,2010
biomass,Day,,UK,W,1,10.019,2010
kerosene,Day,,UK,W,1,18.21616657,2010
pellets,Day,,UK,W,1,20.58703511,2010
res.cooking.other,Day,,UK,W,1,0,2010
res.cooking.hobs,Day,,UK,W,1,0,2010
res.cooking.ovens,Day,,UK,W,1,0,2010
res.consumer-electronics.tv,Day,,UK,W,1,0,2010
res.freezers,Day,,UK,W,1,0,2010
res.cooling,Day,,UK,W,1,0,2010
res.computers,Day,,UK,W,1,0,2010
res.refrigerators,Day,,UK,W,1,0,2010
res.lighting,Day,,UK,W,1,0,2010
res.other,Day,,UK,W,1,0,2010
res.wet.appliances,Day,,UK,W,1,0,2010
res.space-heat.existing-average,Day,,UK,W,1,0,2010
res.space-heat.new-average,Day,,UK,W,1,0,2010
res.hot-water.existing-average,Day,,UK,W,1,0,2010
res.hot-water.new-average,Day,,UK,W,1,0,2010
CO2f,Day,,UK,W,1,0,2010
elc,Peak,,UK,W,2,43.34267522,2010
nga,Peak,,UK,W,2,12.552,2010
oil,Peak,,UK,W,2,19.7944343,2010
hco,Peak,,UK,W,2,19.7944343,2010
wood,Peak,,UK,W,2,10.019,2010
solar,Peak,,UK,W,2,0.0,2010
hydrogen,Peak,,UK,W,2,105.016835,2010
biomass,Peak,,UK,W,2,10.019,2010
kerosene,Peak,,UK,W,2,18.21616657,2010
pellets,Peak,,UK,W,2,20.58703511,2010
res.cooking.other,Peak,,UK,W,2,0,2010
res.cooking.hobs,Peak,,UK,W,2,0,2010
res.cooking.ovens,Peak,,UK,W,2,0,2010
res.consumer-electronics.tv,Peak,,UK,W,2,0,2010
res.freezers,Peak,,UK,W,2,0,2010
res.cooling,Peak,,UK,W,2,0,2010
res.computers,Peak,,UK,W,2,0,2010
res.refrigerators,Peak,,UK,W,2,0,2010
res.lighting,Peak,,UK,W,2,0,2010
res.other,Peak,,UK,W,2,0,2010
res.wet.appliances,Peak,,UK,W,2,0,2010
res.space-heat.existing-average,Peak,,UK,W,2,0,2010
res.space-heat.new-average,Peak,,UK,W,2,0,2010
res.hot-water.existing-average,Peak,,UK,W,2,0,2010
res.hot-water.new-average,Peak,,UK,W,2,0,2010
CO2f,Peak,,UK,W,2,0,2010
elc,Evening,,UK,W,3,43.34267522,2010
nga,Evening,,UK,W,3,12.552,2010
oil,Evening,,UK,W,3,19.7944343,2010
hco,Evening,,UK,W,3,19.7944343,2010
wood,Evening,,UK,W,3,10.019,2010
solar,Evening,,UK,W,3,0.0,2010
hydrogen,Evening,,UK,W,3,105.016835,2010
biomass,Evening,,UK,W,3,10.019,2010
kerosene,Evening,,UK,W,3,18.21616657,2010
pellets,Evening,,UK,W,3,20.58703511,2010
res.cooking.other,Evening,,UK,W,3,0,2010
res.cooking.hobs,Evening,,UK,W,3,0,2010
res.cooking.ovens,Evening,,UK,W,3,0,2010
res.consumer-electronics.tv,Evening,,UK,W,3,0,2010
res.freezers,Evening,,UK,W,3,0,2010
res.cooling,Evening,,UK,W,3,0,2010
res.computers,Evening,,UK,W,3,0,2010
res.refrigerators,Evening,,UK,W,3,0,2010
res.lighting,Evening,,UK,W,3,0,2010
res.other,Evening,,UK,W,3,0,2010
res.wet.appliances,Evening,,UK,W,3,0,2010
res.space-heat.existing-average,Evening,,UK,W,3,0,2010
res.space-heat.new-average,Evening,,UK,W,3,0,2010
res.hot-water.existing-average,Evening,,UK,W,3,0,2010
res.hot-water.new-average,Evening,,UK,W,3,0,2010
