ProcessName,SER.COOLING.HIGH-CONSUMPTION,SER.COOKING,SER.COMPUTING,SER.SPACE-HEAT.HIGH-CONSUMPTION,SER.SPACE-HEAT.LOW-CONSUMPTION,SER.LIGHTING.OFFICE,SER.LIGHTING.OTHER,SER.OTHER,SER.REFRIGERATION,SER.HOT-WATER.HIGH-CONSUMPTION,SER.HOT-WATER.LOW-CONSUMPTION,CO2f,RegionName,Time
Unit,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,kt/PJ,-,year
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],1,0,0,0,0,0,0,0,0,0,0,50.14900158370755,UK,2010
SCHP-CCG00 [SER.CHP: .00.COMBINED-CYCLE.NGA.],0,0,0,0,0,0,0,1,0,0,0,50.14900158370755,UK,2010
SCHP-GES00 [SER.CHP: .00.GAS-ENGINE.BOG.],0,0,0,0,0,0,0,1,0,0,0,0.0,UK,2010
SCHP-STW00 [SER.CHP: .00.STEAM-TURBINE.BIOMASS.],0,0,0,0,0,0,0,1,0,0,0,0.0,UK,2010
SCKELC000 [SER.COOKING: .00.ELC.],0,1,0,0,0,0,0,0,0,0,0,0.0,UK,2010
SCKNGA000 [SER.COOKING: .00.NGA.],0,1,0,0,0,0,0,0,0,0,0,50.14900158370755,UK,2010
SCKOTH000 [SER.COOKING: .00.OIL.HEAT.],0,1,0,0,0,0,0,0,0,0,0,70.27115814432203,UK,2010
SCPECOMP00 [SER.COMPUTERS: .00.],0,0,1,0,0,0,0,0,0,0,0,0.0,UK,2010
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],0,0,0,1,0,0,0,0,0,0,0,0.0,UK,2010
SHHBLRRC00 [SER.HEAT.HIGH-CONSUMPTION: .00.HCO.BOILER.STD.RADIATOR.],0,0,0,1,0,0,0,0,0,0,0,70.27115814432203,UK,2010
SHHBLRRE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.BOILER.STD.RADIATOR.],0,0,0,1,0,0,0,0,0,0,0,0.0,UK,2010
SHHBLRRG00 [SER.HEAT.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],0,0,0,1,0,0,0,0,0,0,0,50.14900158370755,UK,2010
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],0,0,0,1,0,0,0,0,0,0,0,70.27115814432203,UK,2010
SHHBLRRW00 [SER.HEAT.HIGH-CONSUMPTION: .00.WOD.BOILER.STD.RADIATOR.],0,0,0,1,0,0,0,0,0,0,0,0.0,UK,2010
SHHDAIR00 [SER.HEAT.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],0,0,0,1,0,0,0,0,0,0,0,0.0,UK,2010
SHHDRAD00 [SER.HEAT.HIGH-CONSUMPTION: .00.HTP.RADIATOR.],0,0,0,1,0,0,0,0,0,0,0,70.27115814432203,UK,2010
SHHVACAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.HVAC.HFC.AIR.],0,0,0,1,0,0,0,0,0,0,0,0.0,UK,2010
SHLAHPRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.HEAT PUMP.AIR.RADIATOR.],0,0,0,0,1,0,0,0,0,0,0,0.0,UK,2010
SHLBLCRG00 [SER.HEAT.LOW-CONSUMPTION: .00.NGA.BOILER.CON.RADIATOR.],0,0,0,0,1,0,0,0,0,0,0,50.14900158370755,UK,2010
SHLBLCRO00 [SER.HEAT.LOW-CONSUMPTION: .00.OIL.BOILER.CON.RADIATOR.],0,0,0,0,1,0,0,0,0,0,0,70.27115814432203,UK,2010
SHLBLRRC00 [SER.HEAT.LOW-CONSUMPTION: .00.HCO.BOILER.STD.RADIATOR.],0,0,0,0,1,0,0,0,0,0,0,70.27115814432203,UK,2010
