Commodity,CommodityType,CommodityName
ELC,Energy,ELC
NGA,Energy,NGA
OIL,Energy,OIL
HCO,Energy,HCO
WOOD,Energy,WOOD
SOLAR,Energy,SOLAR
HYDROGEN,Energy,HYDROGEN
KEROSENE,Energy,KEROSENE
PELLETS,Energy,PELLETS
RES.COOKING.OTHER,Services,RES.COOKING.OTHER
RES.COOKING.HOBS,Services,RES.COOKING.HOBS
RES.COOKING.OVENS,Services,RES.COOKING.OVENS
RES.CONSUMER-ELECTRONICS.TV,Services,RES.CONSUMER-ELECTRONICS.TV
RES.FREEZERS,Services,RES.FREEZERS
RES.COOLING,Services,RES.COOLING
RES.COMPUTERS,Services,RES.COMPUTERS
RES.REFRIGERATORS,Services,RES.REFRIGERATORS
RES.LIGHTING,Services,RES.LIGHTING
RES.OTHER,Services,RES.OTHER
RES.WET.APPLIANCES,Services,RES.WET.APPLIANCES
RES.SPACE-HEAT.EXISTING-AVERAGE,Services,RES.SPACE-HEAT.EXISTING-AVERAGE
RES.SPACE-HEAT.NEW-AVERAGE,Services,RES.SPACE-HEAT.NEW-AVERAGE
RES.HOT-WATER.EXISTING-AVERAGE,Services,RES.HOT-WATER.EXISTING-AVERAGE
RES.HOT-WATER.NEW-AVERAGE,Services,RES.HOT-WATER.NEW-AVERAGE
CO2f,Environmental,CO2f
