ProcessName,2010,2015,2020,2025,2030,2035,2040,2045,2050,RegionName,Unit
RWEASA00 [RES.WATER.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],28.7482486105199,25.154717534204917,19.76442091973243,14.37412430525995,12.577358767102456,8.983827690787468,7.187062152629977,5.390296614472483,3.5935310763149886,UK,PJ/y
RWEASOLRS00 [RES.WATER.EXISTING-AVERAGE: .00.SOL.WATER-HEATER.STANDALONE.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RWEAWHTRE00 [RES.WATER.EXISTING-AVERAGE: .00.ELC.RESISTANCE.STANDALONE.],181.153219232739,135.86491442455423,67.93245721227711,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RWEAWHTRG00 [RES.WATER.EXISTING-AVERAGE: .00.NGA.BOILER.STD.STANDALONE.],49.860856988091,37.39564274106825,18.697821370534125,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RWEACSV01 [RES.WATER.EXISTING-AVERAGE: .01.CONSERVATION-MEASURES.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RWEAWHTRE01 [RES.WATER.EXISTING-AVERAGE: .01.ELC.RESISTANCE.STANDALONE.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RWEAWHTRG01 [RES.WATER.EXISTING-AVERAGE: .01.NGA.BOILER.STD.STANDALONE.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RWNASA01 [RES.WATER.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RWNAWHTRE01 [RES.WATER.NEW-AVERAGE: .01.ELC.RESISTANCE.STANDALONE.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RWNAWHTRG01 [RES.WATER.NEW-AVERAGE: .01.NGA.BOILER.STD.STANDALONE.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
