ProcessName,RegionName,Time,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Fuel,EndUse,Agent1
Unit,-,year,MGBP2020/PJ_a,-,MGBP2020/PJ_a,-,MGBP2020/PJ,-,PJ,%,PJ,years,-,PJ,%,-,-,-,new
RWEASA00 [RES.WATER.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,2010,0.000593142810946307,1,0.0,1,0,1,2.0,100,100000000.0,50.0,1.0,1,1.0,0.1,ELC,RES.HOT-WATER.EXISTING-AVERAGE,1.0
RWEASOLRS00 [RES.WATER.EXISTING-AVERAGE: .00.SOL.WATER-HEATER.STANDALONE.],UK,2010,6.10855195224853,1,21.4916800914079,1,0,1,2.0,100,100000000.0,20.0,1.0,1,1.0,0.1,SOLAR,RES.HOT-WATER.EXISTING-AVERAGE,1.0
RWEAWHTRE00 [RES.WATER.EXISTING-AVERAGE: .00.ELC.RESISTANCE.STANDALONE.],UK,2010,2.62143465606815,1,0.262143465606815,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.829474414370852,0.1,ELC,RES.HOT-WATER.EXISTING-AVERAGE,1.0
RWEAWHTRG00 [RES.WATER.EXISTING-AVERAGE: .00.NGA.BOILER.STD.STANDALONE.],UK,2010,6.10855195224853,1,0.610855195224853,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.728829693612716,0.1,NGA,RES.HOT-WATER.EXISTING-AVERAGE,1.0
RWEACSV01 [RES.WATER.EXISTING-AVERAGE: .01.CONSERVATION-MEASURES.],UK,2010,0.000593142810946307,1,0.000593142810946307,1,0,1,100000000.0,100,100000000.0,50.0,1.0,1,1.0,0.1,ELC,RES.HOT-WATER.EXISTING-AVERAGE,1.0
RWEAWHTRE01 [RES.WATER.EXISTING-AVERAGE: .01.ELC.RESISTANCE.STANDALONE.],UK,2010,2.62143465606815,1,0.262143465606815,1,0,1,100000000.0,100,100000000.0,15.0,1.0,1,0.85,0.1,ELC,RES.HOT-WATER.EXISTING-AVERAGE,1.0
RWEAWHTRG01 [RES.WATER.EXISTING-AVERAGE: .01.NGA.BOILER.STD.STANDALONE.],UK,2010,6.10855195224853,1,0.610855195224853,1,0,1,100000000.0,100,100000000.0,15.0,1.0,1,0.8,0.1,NGA,RES.HOT-WATER.EXISTING-AVERAGE,1.0
RWNASA01 [RES.WATER.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],UK,2010,0.000593142810946307,1,0.000593142810946307,1,0,1,100000000.0,100,100000000.0,50.0,1.0,1,1.0,0.1,ELC,RES.HOT-WATER.NEW-AVERAGE,1.0
RWNAWHTRE01 [RES.WATER.NEW-AVERAGE: .01.ELC.RESISTANCE.STANDALONE.],UK,2010,2.09714772485452,1,0.209714772485452,1,0,1,100000000.0,100,100000000.0,15.0,1.0,1,0.85,0.1,ELC,RES.HOT-WATER.NEW-AVERAGE,1.0
RWNAWHTRG01 [RES.WATER.NEW-AVERAGE: .01.NGA.BOILER.STD.STANDALONE.],UK,2010,4.88684156179883,1,0.488684156179883,1,0,1,100000000.0,100,100000000.0,15.0,1.0,1,0.8,0.1,NGA,RES.HOT-WATER.NEW-AVERAGE,1.0
