ProcessName,2010,2015,2020,2025,2030,2035,2040,2045,2050,RegionName,Unit
RCHPEA-CCG00 [RES.CHP.EXISTING-AVERAGE: .00.COMBINED-CYCLE.NGA.],0.200036912471027,0.163666564749022,0.1091110431660147,0.0545555215830073,0.0363703477220049,0.0,0.0,0.0,0.0,UK,PJ/y
RHEAAHPRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.HEAT PUMP.AIR.RADIATOR.],4.00348620238012,3.1138226018512047,1.7793272010578312,0.444831800264458,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHEABLCRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.BOILER.CON.RADIATOR.],4301.76454642629,3226.323409819717,1613.1617049098586,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHEABLCRO00 [RES.HEAT.EXISTING-AVERAGE: .00.OIL.BOILER.CON.RADIATOR.],80.2297136619455,60.172285246459126,30.086142623229563,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHEABLRRC00 [RES.HEAT.EXISTING-AVERAGE: .00.HCO.BOILER.STD.RADIATOR.],222.405510415764,166.80413281182302,83.40206640591151,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHEABLRRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.BOILER.STD.RADIATOR.],39.1422462013122,29.35668465098415,14.678342325492077,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHEABLRRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.BOILER.STD.RADIATOR.],12218.8352417207,9164.126431290526,4582.063215645263,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHEABLRRO00 [RES.HEAT.EXISTING-AVERAGE: .00.OIL.BOILER.STD.RADIATOR.],1144.65030039399,858.4877252954925,429.2438626477463,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHEABLRRW00 [RES.HEAT.EXISTING-AVERAGE: .00.WOD.BOILER.STD.RADIATOR.],8.30592351056101,6.460162730436341,3.6915215602493374,0.9228803900623346,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHEANSTRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.RESISTANCE.STANDALONE.NIGHT-STORAGE.],864.669178375903,648.5018837819273,324.25094189096365,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHEARAD00 [RES.HEAT.EXISTING-AVERAGE: .00.HTP.RADIATOR.],3355.98992827309,2936.491187238953,2307.2430756877493,1677.994964136545,1468.2455936194767,1048.7468525853403,838.9974820682723,629.2481115512041,419.4987410341364,UK,PJ/y
RHEASA00 [RES.HEAT.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],265.945315905499,232.70215141731163,182.83740468503052,132.9726579527495,116.3510757086558,83.10791122046845,66.48632897637475,49.86474673228105,33.243164488187375,UK,PJ/y
RHEASHTRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.RESISTANCE.STANDALONE.],222.250137020533,166.68760276539976,83.34380138269987,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
