ProcessName,RegionName,Time,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Fuel,EndUse,Agent1
Unit,-,year,MGBP2020/PJ_a,-,MGBP2020/PJ_a,-,MGBP2020/PJ,-,PJ,%,PJ,years,-,PJ,%,-,-,-,new
RCHPEA-CCG00 [RES.CHP.EXISTING-AVERAGE: .00.COMBINED-CYCLE.NGA.],UK,2010,423.684210526316,1,16.8421052631579,1,0,1,2.0,100,100000000.0,25.0,0.383762178584872,1,0.545074179608265,0.1,NGA,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
RHEAAHPRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.HEAT PUMP.AIR.RADIATOR.],UK,2010,30.9743189793675,1,3.09743189793675,1,0,1,2.0,100,100000000.0,20.0,1.0,1,2.71942348008938,0.1,ELC,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
RHEABLCRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.BOILER.CON.RADIATOR.],UK,2010,2.85090453604836,1,0.285090453604836,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.888379065708687,0.1,NGA,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
RHEABLCRO00 [RES.HEAT.EXISTING-AVERAGE: .00.OIL.BOILER.CON.RADIATOR.],UK,2010,23.6904861111111,1,0.469444512257088,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.63142550991176,0.1,OIL,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
RHEABLRRC00 [RES.HEAT.EXISTING-AVERAGE: .00.HCO.BOILER.STD.RADIATOR.],UK,2010,23.6904861111111,1,0.469444512257088,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.435129571045746,0.1,HCO,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
RHEABLRRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.BOILER.STD.RADIATOR.],UK,2010,2.19012447748871,1,0.219012447748871,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.90461487617917,0.1,ELC,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
RHEABLRRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.BOILER.STD.RADIATOR.],UK,2010,2.85090453604836,1,0.285090453604836,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.744430283067581,0.1,NGA,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
RHEABLRRO00 [RES.HEAT.EXISTING-AVERAGE: .00.OIL.BOILER.STD.RADIATOR.],UK,2010,23.6904861111111,1,0.469444512257088,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.538417980555508,0.1,OIL,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
RHEABLRRW00 [RES.HEAT.EXISTING-AVERAGE: .00.WOD.BOILER.STD.RADIATOR.],UK,2010,23.6904861111111,1,2.36904861111111,1,0,1,2.0,100,100000000.0,20.0,1.0,1,0.0752892938270835,0.1,WOOD,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
RHEANSTRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.RESISTANCE.STANDALONE.NIGHT-STORAGE.],UK,2010,2.99592532122074,1,0.299592532122074,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.810297627311947,0.1,ELC,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
RHEARAD00 [RES.HEAT.EXISTING-AVERAGE: .00.HTP.RADIATOR.],UK,2010,35.9435703435755,1,0.71887140687151,1,0,1,2.0,100,100000000.0,50.0,1.0,1,1.0,0.1,ELC,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
RHEASA00 [RES.HEAT.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,2010,0.000281025993785082,1,0.0,1,0,1,2.0,100,100000000.0,50.0,1.0,1,1.0,0.1,ELC,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
RHEASHTRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.RESISTANCE.STANDALONE.],UK,2010,2.62143465606815,1,0.262143465606815,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.913593004537911,0.1,ELC,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
RHEASHTRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.HEATER.STANDALONE.],UK,2010,6.10855195224853,1,0.610855195224853,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.728829693612716,0.1,NGA,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
RHEASTGNT00 [RES.HEAT.EXISTING-AVERAGE .00.ELC.NIGHT-STORAGE.HEAT-SUPPLY.],UK,2010,0.001,1,0.001,1,0,1,2.0,100,100000000.0,15.0,1.0,1,1.0,0.1,ELC,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
RHNADUMMY00 [RES.HEAT.NEW-AVERAGE: .00.DUMMY-TECH.],UK,2010,32.9474556872679,1,0.658949113745357,1,0,1,2.0,100,2.0,1.0,1.0,1,1.0,0.1,ELC,RES.SPACE-HEAT.NEW-AVERAGE,1.0
RCHPEA-CCG01 [RES.CHP.EXISTING-AVERAGE: .01.COMBINED-CYCLE.NGA.],UK,2010,423.684210526316,1,16.8421052631579,1,0,1,100000000.0,100,100000000.0,25.0,0.383762178584872,1,0.8,0.1,NGA,RES.SPACE-HEAT.EXISTING-AVERAGE,1.0
