Archetype,Average Annual Elec consumption (kWh),Average Annual Gas consumption (kWh),Main heating Fuel,Predicted Consumption (kWh),demand_share
A1,2742,10933,Mains gas,,0.032715445085653785
A2,2849,9464,Mains gas,,0.02945705852575174
A3,3519,10622,Mains gas,,0.03383028219058356
B6,3028,10525,Mains gas,,0.032423577860758
C7,3649,13119,Mains gas,,0.040114996943052476
C9,3337,13685,Mains gas,,0.040722654935868276
D10,3881,13981,Mains gas,,0.042732232549904776
D11,2482,8782,Mains gas,,0.026947478862508534
D12,3952,16065,Mains gas,,0.04788775607162938
E13,5075,16722,Mains gas,,0.052146146729944824
E14,4070,14606,Mains gas,,0.044679608952078245
H20,3143,11677,Mains gas,,0.03545469076192973
I21,4070,15461,Mains gas,,0.046725071880651114
I22,4684,18530,Mains gas,,0.05553611277648021
J23,4532,16330,Mains gas,,0.049909295457178
G17,5901,0,Oil/Other (solid fuel/LPG),21410.232218926183,0.06533814390346017
G18,5294,0,Other (solid fuel/LPG),19224.229880160652,0.05865629274163302
H19,4907,0,Oil,17830.518339629743,0.0543961998262671
J24,7523,0,Oil,27251.576195001464,0.08319310697509716
F15,6883,0,Other/Electricity,24946.730236500734,0.07614799207630081
B5,6597,0,Electricity/Other (Solid fuel/LPG),,0.01578236133309382
C8,5587,0,Electricity,,0.013366083487645168
B4,4811,0,Electricity,,0.011509616548963828
F16,4317,0,Electricity,,0.01032779352356617
