0,1,2,3,4,5,6,7,8,9
Cold,All days,Holidays,Workdays,All days,Holidays,Workdays,All days,Holidays,Workdays
appliances,16.2%,15.9%,16.3%,13.4%,12.8%,13.6%,4.7%,5.0%,4.6%
Cooking,13.8%,14.1%,13.6%,11.7%,11.9%,11.5%,7.2%,8.3%,6.8%
Lighting,15.4%,14.3%,15.8%,10.0%,9.0%,10.3%,5.8%,6.4%,5.5%
Audiovisual,14.4%,14.5%,14.4%,10.4%,10.6%,10.2%,3.4%,3.2%,3.5%
ICT,6.1%,5.9%,6.1%,3.6%,3.5%,3.7%,2.6%,1.5%,3.0%
Washing/Drying,13.6%,14.7%,13.2%,10.7%,12.1%,10.0%,3.1%,3.1%,3.1%
Heating,,,,22.5%,20.8%,23.0%,64.2%,59.1%,65.8%
Water heating,7.1%,7.0%,7.2%,4.0%,4.5%,3.8%,6.3%,7.6%,5.8%
Other,3.7%,3.6%,3.7%,5.8%,7.3%,5.1%,1.5%,1.0%,1.7%
Not known,9.7%,10.0%,9.8%,7.9%,7.4%,8.7%,1.2%,4.8%,0.2%
