technology,dst_region,region,installed,agent,sector,type,year,capacity
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2010,430.56960000000
SCHP-CCG00 [SER.CHP: .00.COMBINED-CYCLE.NGA.],UK,UK,2010,Agent2,service,newcapa,2010,1.37050000000
SCHP-GES00 [SER.CHP: .00.GAS-ENGINE.BOG.],UK,UK,2010,Agent2,service,newcapa,2010,0.33800000000
SCHP-STW00 [SER.CHP: .00.STEAM-TURBINE.BIOMASS.],UK,UK,2010,Agent2,service,newcapa,2010,0.43580000000
SCKELC000 [SER.COOKING: .00.ELC.],UK,UK,2010,Agent2,service,newcapa,2010,43.21750000000
SCKNGA000 [SER.COOKING: .00.NGA.],UK,UK,2010,Agent2,service,newcapa,2010,48.64570000000
SCKOTH000 [SER.COOKING: .00.OIL.HEAT.],UK,UK,2010,Agent2,service,newcapa,2010,6.03140000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,UK,2010,Agent2,service,newcapa,2010,19.89970000000
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,UK,2010,Agent2,service,newcapa,2010,1608.65140000000
SHHBLRRC00 [SER.HEAT.HIGH-CONSUMPTION: .00.HCO.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2010,2.25960000000
SHHBLRRE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2010,24.14600000000
SHHBLRRG00 [SER.HEAT.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2010,605.86950000000
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2010,80.66050000000
SHHBLRRW00 [SER.HEAT.HIGH-CONSUMPTION: .00.WOD.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2010,10.18870000000
SHHDAIR00 [SER.HEAT.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2010,111.89810000000
SHHDRAD00 [SER.HEAT.HIGH-CONSUMPTION: .00.HTP.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2010,740.43030000000
SHHVACAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.HVAC.HFC.AIR.],UK,UK,2010,Agent2,service,newcapa,2010,167.96210000000
SHLAHPRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.HEAT PUMP.AIR.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2010,0.73120000000
SHLBLCRG00 [SER.HEAT.LOW-CONSUMPTION: .00.NGA.BOILER.CON.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2010,108.52620000000
SHLBLCRO00 [SER.HEAT.LOW-CONSUMPTION: .00.OIL.BOILER.CON.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2010,7.93350000000
SHLBLRRC00 [SER.HEAT.LOW-CONSUMPTION: .00.HCO.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2010,0.99330000000
SHLBLRRG00 [SER.HEAT.LOW-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2010,210.66840000000
SHLBLRRO00 [SER.HEAT.LOW-CONSUMPTION: .00.OIL.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2010,30.80070000000
SHLBLRRW00 [SER.HEAT.LOW-CONSUMPTION: .00.WOD.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2010,4.56760000000
SHLDRAD00 [SER.HEAT.LOW-CONSUMPTION: .00.HTP.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2010,115.13980000000
SHLDSTD00 [SER.HEAT.LOW-CONSUMPTION: .00.STANDALONE.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2010,181.37570000000
SHLNSTRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.NIGHT-STORAGE.],UK,UK,2010,Agent2,service,newcapa,2010,94.88900000000
SHLSHTRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.],UK,UK,2010,Agent2,service,newcapa,2010,32.44210000000
SHLSHTRG00 [SER.HEAT.LOW-CONSUMPTION: .00.NGA.RESISTANCE.STANDALONE.],UK,UK,2010,Agent2,service,newcapa,2010,310.99230000000
SHLSHTRO00 [SER.HEAT.LOW-CONSUMPTION: .00.LFO.RESISTANCE.STANDALONE.],UK,UK,2010,Agent2,service,newcapa,2010,52.31690000000
SHLSTGNT00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.NIGHT-STORAGE.HEAT-SUPPLY.],UK,UK,2010,Agent2,service,newcapa,2010,94.88900000000
SLOFEFLU00 [SER.LIGHTING: .00.OFFICE.FLUORESCENT.],UK,UK,2010,Agent2,service,newcapa,2010,378.14400000000
SLOTECCL00 [SER.LIGHTING: .00.OTHER.CCL.],UK,UK,2010,Agent2,service,newcapa,2010,170.71680000000
SOTHELC00 [SER.OTHER: .00.ELC.],UK,UK,2010,Agent2,service,newcapa,2010,17.94620000000
SOTHNGA00 [SER.OTHER: .00.NGA.OIL.HEAT.],UK,UK,2010,Agent2,service,newcapa,2010,5.27600000000
SREFEHFC00 [SER.REFRIGERATION: .00.HFC.],UK,UK,2010,Agent2,service,newcapa,2010,57.02400000000
SWHBLRRC00 [SER.WATER.HIGH-CONSUMPTION: .00.HCO.BOILER.STD.PIPE.],UK,UK,2010,Agent2,service,newcapa,2010,0.31160000000
SWHBLRRG00 [SER.WATER.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.PIPE.],UK,UK,2010,Agent2,service,newcapa,2010,160.70220000000
SWHBLRRO00 [SER.WATER.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.PIPE.],UK,UK,2010,Agent2,service,newcapa,2010,11.18800000000
SWHBLRRW00 [SER.WATER.HIGH-CONSUMPTION: .00.WOD.BOILER.STD.PIPE.],UK,UK,2010,Agent2,service,newcapa,2010,1.42580000000
SWHDPIP00 [SER.WATER.HIGH-CONSUMPTION: .00.PIPE.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2010,54.10610000000
SWHDSTD00 [SER.WATER.HIGH-CONSUMPTION: .00.STANDALONE.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2010,14.74120000000
SWHWHTRE00 [SER.WATER.HIGH-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.],UK,UK,2010,Agent2,service,newcapa,2010,54.27420000000
SWLDSTD00 [SER.WATER.LOW-CONSUMPTION: .00.STANDALONE.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2010,7.69480000000
SWLWHTRE00 [SER.WATER.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.],UK,UK,2010,Agent2,service,newcapa,2010,85.89150000000
SCHCSV01 [SER.COOLTH.HIGH-CONSUMPTION: .01.CONSERVATION-MEASURES.],UK,UK,2010,Agent2,service,newcapa,2015,137.44360000000
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2015,379.05960000000
SCHDAIR01 [SER.COOLTH.HIGH-CONSUMPTION: .01.AIR.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2015,137.44360000000
SCHP-CCG00 [SER.CHP: .00.COMBINED-CYCLE.NGA.],UK,UK,2010,Agent2,service,newcapa,2015,1.06600000000
SCHP-GES00 [SER.CHP: .00.GAS-ENGINE.BOG.],UK,UK,2010,Agent2,service,newcapa,2015,0.22530000000
SCHP-STW00 [SER.CHP: .00.STEAM-TURBINE.BIOMASS.],UK,UK,2010,Agent2,service,newcapa,2015,0.33890000000
SCKELC000 [SER.COOKING: .00.ELC.],UK,UK,2010,Agent2,service,newcapa,2015,25.93050000000
SCKHYG001 [SER.COOKING: .01.HDG.],UK,UK,2010,Agent2,service,newcapa,2015,6.09300000000
SCKLFO001 [SER.COOKING: .01.OIL.],UK,UK,2010,Agent2,service,newcapa,2015,6.09300000000
SCKNGA000 [SER.COOKING: .00.NGA.],UK,UK,2010,Agent2,service,newcapa,2015,35.28040000000
SCKNGA001 [SER.COOKING: .01.NGA.],UK,UK,2010,Agent2,service,newcapa,2015,6.09300000000
SCKOTH000 [SER.COOKING: .00.OIL.HEAT.],UK,UK,2010,Agent2,service,newcapa,2015,9.71190000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,UK,2010,Agent2,service,newcapa,2015,10.00000000000
SCPECOMP01 [SER.COMPUTERS: .01.],UK,UK,2010,Agent2,service,newcapa,2015,15.11180000000
SCSELPDT01 [SER.LIGHTING: .01.CONSERVATION.PRESENCE-DETECTOR.],UK,UK,2010,Agent2,service,newcapa,2015,1.21830000000
SCSELTMR01 [SER.LIGHTING: .01.CONSERVATION.LIGHTING-TIMER.],UK,UK,2010,Agent2,service,newcapa,2015,59.71970000000
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,UK,2010,Agent2,service,newcapa,2015,1149.03670000000
SHHBLRRC00 [SER.HEAT.HIGH-CONSUMPTION: .00.HCO.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2015,1.61400000000
SHHBLRRE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2015,17.24720000000
SHHBLRRG00 [SER.HEAT.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2015,432.76390000000
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2015,57.61460000000
SHHBLRRW00 [SER.HEAT.HIGH-CONSUMPTION: .00.WOD.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2015,7.27760000000
SHHDAIR00 [SER.HEAT.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2015,95.91260000000
SHHDRAD00 [SER.HEAT.HIGH-CONSUMPTION: .00.HTP.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2015,634.65450000000
SHHVACAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.HVAC.HFC.AIR.],UK,UK,2010,Agent2,service,newcapa,2015,119.97290000000
SHLAHPRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.HEAT PUMP.AIR.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2015,0.52230000000
SHLBLCRG00 [SER.HEAT.LOW-CONSUMPTION: .00.NGA.BOILER.CON.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2015,72.35080000000
SHLBLCRO00 [SER.HEAT.LOW-CONSUMPTION: .00.OIL.BOILER.CON.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2015,5.28900000000
SHLBLRRC00 [SER.HEAT.LOW-CONSUMPTION: .00.HCO.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2015,0.66220000000
SHLBLRRG00 [SER.HEAT.LOW-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2015,140.44560000000
SHLBLRRO00 [SER.HEAT.LOW-CONSUMPTION: .00.OIL.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2015,20.53380000000
SHLBLRRW00 [SER.HEAT.LOW-CONSUMPTION: .00.WOD.BOILER.STD.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2015,3.04510000000
SHLDRAD00 [SER.HEAT.LOW-CONSUMPTION: .00.HTP.RADIATOR.],UK,UK,2010,Agent2,service,newcapa,2015,98.69130000000
SHLDSTD00 [SER.HEAT.LOW-CONSUMPTION: .00.STANDALONE.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2015,155.46490000000
SHLNSTRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.NIGHT-STORAGE.],UK,UK,2010,Agent2,service,newcapa,2015,63.25930000000
SHLSHTRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.],UK,UK,2010,Agent2,service,newcapa,2015,21.62800000000
SHLSHTRG00 [SER.HEAT.LOW-CONSUMPTION: .00.NGA.RESISTANCE.STANDALONE.],UK,UK,2010,Agent2,service,newcapa,2015,207.32820000000
SHLSHTRO00 [SER.HEAT.LOW-CONSUMPTION: .00.LFO.RESISTANCE.STANDALONE.],UK,UK,2010,Agent2,service,newcapa,2015,34.87790000000
SHLSTGNT00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.NIGHT-STORAGE.HEAT-SUPPLY.],UK,UK,2010,Agent2,service,newcapa,2015,63.25930000000
SLOFEFLU00 [SER.LIGHTING: .00.OFFICE.FLUORESCENT.],UK,UK,2010,Agent2,service,newcapa,2015,10.00000000000
SLOFEFLU01 [SER.LIGHTING: .01.OFFICE.FLUORESCENT.],UK,UK,2010,Agent2,service,newcapa,2015,201.01310000000
SLOFELED00 [SER.LIGHTING: .00.OFFICE.LED.],UK,UK,2010,Agent2,service,newcapa,2015,10.00000000000
SLOFELED01 [SER.LIGHTING: .01.OFFICE.LED.],UK,UK,2010,Agent2,service,newcapa,2015,95.50650000000
SLOTECCL00 [SER.LIGHTING: .00.OTHER.CCL.],UK,UK,2010,Agent2,service,newcapa,2015,66.90560000000
SLOTECCL01 [SER.LIGHTING: .01.OTHER.CCL.],UK,UK,2010,Agent2,service,newcapa,2015,32.43670000000
SLOTELED00 [SER.LIGHTING: .00.OTHER.LED.],UK,UK,2010,Agent2,service,newcapa,2015,10.00000000000
SLOTELED01 [SER.LIGHTING: .01.OTHER.LED.],UK,UK,2010,Agent2,service,newcapa,2015,11.21830000000
SOTHELC00 [SER.OTHER: .00.ELC.],UK,UK,2010,Agent2,service,newcapa,2015,21.42650000000
SOTHELC01 [SER.OTHER: .01.ELC.],UK,UK,2010,Agent2,service,newcapa,2015,6.04410000000
SOTHNGA00 [SER.OTHER: .00.NGA.OIL.HEAT.],UK,UK,2010,Agent2,service,newcapa,2015,10.56630000000
SOTHNGA01 [SER.OTHER: .01.NGA.],UK,UK,2010,Agent2,service,newcapa,2015,6.04410000000
SREFEHFC00 [SER.REFRIGERATION: .00.HFC.],UK,UK,2010,Agent2,service,newcapa,2015,48.01600000000
SREFEHFC01 [SER.REFRIGERATION: .01.HFC.],UK,UK,2010,Agent2,service,newcapa,2015,51.72170000000
SREFEHFO00 [SER.REFRIGERATION: .00.HFO.],UK,UK,2010,Agent2,service,newcapa,2015,10.00000000000
SREFEHFO01 [SER.REFRIGERATION: .01.HFO.],UK,UK,2010,Agent2,service,newcapa,2015,20.86080000000
SWHBLRRC00 [SER.WATER.HIGH-CONSUMPTION: .00.HCO.BOILER.STD.PIPE.],UK,UK,2010,Agent2,service,newcapa,2015,0.22260000000
SWHBLRRG00 [SER.WATER.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.PIPE.],UK,UK,2010,Agent2,service,newcapa,2015,114.78730000000
SWHBLRRO00 [SER.WATER.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.PIPE.],UK,UK,2010,Agent2,service,newcapa,2015,7.99140000000
SWHBLRRW00 [SER.WATER.HIGH-CONSUMPTION: .00.WOD.BOILER.STD.PIPE.],UK,UK,2010,Agent2,service,newcapa,2015,1.01840000000
SWHDPIP00 [SER.WATER.HIGH-CONSUMPTION: .00.PIPE.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2015,46.37670000000
SWHDSTD00 [SER.WATER.HIGH-CONSUMPTION: .00.STANDALONE.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2015,12.63530000000
SWHWHTRE00 [SER.WATER.HIGH-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.],UK,UK,2010,Agent2,service,newcapa,2015,38.76730000000
SWLDSTD00 [SER.WATER.LOW-CONSUMPTION: .00.STANDALONE.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2015,17.20470000000
SWLDSTD01 [SER.WATER.LOW-CONSUMPTION: .01.STANDALONE.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2015,13.46150000000
SWLWHTRE00 [SER.WATER.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.],UK,UK,2010,Agent2,service,newcapa,2015,57.26100000000
SWLWHTRE01 [SER.WATER.LOW-CONSUMPTION: .01.ELC.RESISTANCE.STANDALONE.],UK,UK,2010,Agent2,service,newcapa,2015,17.04950000000
SCHCSV01 [SER.COOLTH.HIGH-CONSUMPTION: .01.CONSERVATION-MEASURES.],UK,UK,2010,Agent2,service,newcapa,2020,137.44360000000
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2020,317.54970000000
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,UK,2015,Agent2,service,newcapa,2020,10.00000000000
SCHDAIR01 [SER.COOLTH.HIGH-CONSUMPTION: .01.AIR.DELIVERY.],UK,UK,2010,Agent2,service,newcapa,2020,137.44360000000
SCHDAIR01 [SER.COOLTH.HIGH-CONSUMPTION: .01.AIR.DELIVERY.],UK,UK,2015,Agent2,service,newcapa,2020,90.35730000000
SCHP-CCG00 [SER.CHP: .00.COMBINED-CYCLE.NGA.],UK,UK,2010,Agent2,service,newcapa,2020,0.76140000000
SCHP-GES00 [SER.CHP: .00.GAS-ENGINE.BOG.],UK,UK,2010,Agent2,service,newcapa,2020,0.11270000000
SCHP-STW00 [SER.CHP: .00.STEAM-TURBINE.BIOMASS.],UK,UK,2010,Agent2,service,newcapa,2020,0.24210000000
SCKELC000 [SER.COOKING: .00.ELC.],UK,UK,2010,Agent2,service,newcapa,2020,8.64350000000
SCKHYG001 [SER.COOKING: .01.HDG.],UK,UK,2010,Agent2,service,newcapa,2020,6.09300000000
SCKLFO001 [SER.COOKING: .01.OIL.],UK,UK,2010,Agent2,service,newcapa,2020,6.09300000000
SCKLFO001 [SER.COOKING: .01.OIL.],UK,UK,2015,Agent2,service,newcapa,2020,6.11420000000
SCKNGA000 [SER.COOKING: .00.NGA.],UK,UK,2010,Agent2,service,newcapa,2020,15.82210000000
SCKNGA000 [SER.COOKING: .00.NGA.],UK,UK,2015,Agent2,service,newcapa,2020,10.05760000000
SCKNGA001 [SER.COOKING: .01.NGA.],UK,UK,2010,Agent2,service,newcapa,2020,6.09300000000
SCKNGA001 [SER.COOKING: .01.NGA.],UK,UK,2015,Agent2,service,newcapa,2020,22.22840000000
SCKOTH000 [SER.COOKING: .00.OIL.HEAT.],UK,UK,2010,Agent2,service,newcapa,2020,7.29930000000
SCKOTH000 [SER.COOKING: .00.OIL.HEAT.],UK,UK,2015,Agent2,service,newcapa,2020,6.11420000000
