commodity,consumption,period,region,season,timeslice,units_prices,year
nga,34.23270000000,Night,UK,W,0,12.552,2010
bog,0.04300000000,Night,UK,W,0,0,2010
biomass,0.03610000000,Night,UK,W,0,10.019,2010
elc,35.05600000000,Night,UK,W,0,43.34267522,2010
oil,0.85220000000,Night,UK,W,0,19.7944343,2010
hco,14.11270000000,Night,UK,W,0,19.7944343,2010
lfo,4.89830000000,Night,UK,W,0,19.7944343,2010
wood,2.32360000000,Night,UK,W,0,10.019,2010
ser.cooling.high-consumption,13.45530000000,Night,UK,W,0,0,2010
ser.cooking,6.11790000000,Night,UK,W,0,0,2010
ser.computing,2.07290000000,Night,UK,W,0,0,2010
ser.space-heat.high-consumption,16.45290000000,Night,UK,W,0,0,2010
ser.space-heat.low-consumption,8.30090000000,Night,UK,W,0,0,2010
ser.lighting.office,22.15690000000,Night,UK,W,0,0,2010
ser.lighting.other,10.00290000000,Night,UK,W,0,0,2010
ser.other,1.91950000000,Night,UK,W,0,0,2010
ser.refrigeration,4.95000000000,Night,UK,W,0,0,2010
ser.hot-water.high-consumption,3.98410000000,Night,UK,W,0,0,2010
ser.hot-water.low-consumption,1.69520000000,Night,UK,W,0,0,2010
nga,51.95630000000,Day,UK,W,1,12.552,2010
bog,0.01780000000,Day,UK,W,1,0,2010
biomass,0.01500000000,Day,UK,W,1,10.019,2010
elc,21.09450000000,Day,UK,W,1,43.34267522,2010
oil,1.20310000000,Day,UK,W,1,19.7944343,2010
hco,3.21630000000,Day,UK,W,1,19.7944343,2010
lfo,6.63140000000,Day,UK,W,1,19.7944343,2010
wood,1.18750000000,Day,UK,W,1,10.019,2010
ser.cooling.high-consumption,1.02190000000,Day,UK,W,1,0,2010
ser.cooking,1.01970000000,Day,UK,W,1,0,2010
ser.computing,0.31890000000,Day,UK,W,1,0,2010
ser.space-heat.high-consumption,4.14760000000,Day,UK,W,1,0,2010
ser.space-heat.low-consumption,2.96770000000,Day,UK,W,1,0,2010
ser.lighting.office,7.38560000000,Day,UK,W,1,0,2010
ser.lighting.other,3.33430000000,Day,UK,W,1,0,2010
ser.other,0.76780000000,Day,UK,W,1,0,2010
ser.refrigeration,1.98000000000,Day,UK,W,1,0,2010
ser.hot-water.high-consumption,0.73720000000,Day,UK,W,1,0,2010
ser.hot-water.low-consumption,0.33910000000,Day,UK,W,1,0,2010
nga,28.13370000000,Peak,UK,W,2,12.552,2010
bog,0.01840000000,Peak,UK,W,2,0,2010
biomass,0.01550000000,Peak,UK,W,2,10.019,2010
elc,16.61680000000,Peak,UK,W,2,43.34267522,2010
oil,0.51260000000,Peak,UK,W,2,19.7944343,2010
