commodity,period,prices,region,season,timeslice,units_prices,year
nga,Night,,UK,W,0,12.552,2010
bog,Night,,UK,W,0,0,2010
biomass,Night,,UK,W,0,10.019,2010
elc,Night,,UK,W,0,43.34267522,2010
oil,Night,,UK,W,0,19.7944343,2010
hco,Night,,UK,W,0,19.7944343,2010
lfo,Night,,UK,W,0,19.7944343,2010
wood,Night,,UK,W,0,10.019,2010
hydrogen,Night,,UK,W,0,105.016835,2010
pellets,Night,,UK,W,0,20.58703511,2010
solar,Night,,UK,W,0,0.0,2010
ser.cooling.high-consumption,Night,,UK,W,0,0,2010
ser.cooking,Night,,UK,W,0,0,2010
ser.computing,Night,,UK,W,0,0,2010
ser.space-heat.high-consumption,Night,,UK,W,0,0,2010
ser.space-heat.low-consumption,Night,,UK,W,0,0,2010
ser.lighting.office,Night,,UK,W,0,0,2010
ser.lighting.other,Night,,UK,W,0,0,2010
ser.other,Night,,UK,W,0,0,2010
ser.refrigeration,Night,,UK,W,0,0,2010
ser.hot-water.high-consumption,Night,,UK,W,0,0,2010
ser.hot-water.low-consumption,Night,,UK,W,0,0,2010
CO2f,Night,,UK,W,0,0,2010
nga,Day,,UK,W,1,12.552,2010
bog,Day,,UK,W,1,0,2010
biomass,Day,,UK,W,1,10.019,2010
elc,Day,,UK,W,1,43.34267522,2010
oil,Day,,UK,W,1,19.7944343,2010
hco,Day,,UK,W,1,19.7944343,2010
lfo,Day,,UK,W,1,19.7944343,2010
wood,Day,,UK,W,1,10.019,2010
hydrogen,Day,,UK,W,1,105.016835,2010
pellets,Day,,UK,W,1,20.58703511,2010
solar,Day,,UK,W,1,0.0,2010
ser.cooling.high-consumption,Day,,UK,W,1,0,2010
ser.cooking,Day,,UK,W,1,0,2010
ser.computing,Day,,UK,W,1,0,2010
ser.space-heat.high-consumption,Day,,UK,W,1,0,2010
ser.space-heat.low-consumption,Day,,UK,W,1,0,2010
ser.lighting.office,Day,,UK,W,1,0,2010
ser.lighting.other,Day,,UK,W,1,0,2010
ser.other,Day,,UK,W,1,0,2010
ser.refrigeration,Day,,UK,W,1,0,2010
ser.hot-water.high-consumption,Day,,UK,W,1,0,2010
ser.hot-water.low-consumption,Day,,UK,W,1,0,2010
CO2f,Day,,UK,W,1,0,2010
nga,Peak,,UK,W,2,12.552,2010
bog,Peak,,UK,W,2,0,2010
biomass,Peak,,UK,W,2,10.019,2010
elc,Peak,,UK,W,2,43.34267522,2010
oil,Peak,,UK,W,2,19.7944343,2010
hco,Peak,,UK,W,2,19.7944343,2010
lfo,Peak,,UK,W,2,19.7944343,2010
wood,Peak,,UK,W,2,10.019,2010
hydrogen,Peak,,UK,W,2,105.016835,2010
pellets,Peak,,UK,W,2,20.58703511,2010
solar,Peak,,UK,W,2,0.0,2010
ser.cooling.high-consumption,Peak,,UK,W,2,0,2010
ser.cooking,Peak,,UK,W,2,0,2010
ser.computing,Peak,,UK,W,2,0,2010
ser.space-heat.high-consumption,Peak,,UK,W,2,0,2010
ser.space-heat.low-consumption,Peak,,UK,W,2,0,2010
ser.lighting.office,Peak,,UK,W,2,0,2010
ser.lighting.other,Peak,,UK,W,2,0,2010
ser.other,Peak,,UK,W,2,0,2010
ser.refrigeration,Peak,,UK,W,2,0,2010
ser.hot-water.high-consumption,Peak,,UK,W,2,0,2010
ser.hot-water.low-consumption,Peak,,UK,W,2,0,2010
CO2f,Peak,,UK,W,2,0,2010
nga,Evening,,UK,W,3,12.552,2010
bog,Evening,,UK,W,3,0,2010
biomass,Evening,,UK,W,3,10.019,2010
elc,Evening,,UK,W,3,43.34267522,2010
oil,Evening,,UK,W,3,19.7944343,2010
hco,Evening,,UK,W,3,19.7944343,2010
lfo,Evening,,UK,W,3,19.7944343,2010
wood,Evening,,UK,W,3,10.019,2010
hydrogen,Evening,,UK,W,3,105.016835,2010
pellets,Evening,,UK,W,3,20.58703511,2010
solar,Evening,,UK,W,3,0.0,2010
ser.cooling.high-consumption,Evening,,UK,W,3,0,2010
ser.cooking,Evening,,UK,W,3,0,2010
ser.computing,Evening,,UK,W,3,0,2010
ser.space-heat.high-consumption,Evening,,UK,W,3,0,2010
ser.space-heat.low-consumption,Evening,,UK,W,3,0,2010
ser.lighting.office,Evening,,UK,W,3,0,2010
ser.lighting.other,Evening,,UK,W,3,0,2010
ser.other,Evening,,UK,W,3,0,2010
ser.refrigeration,Evening,,UK,W,3,0,2010
ser.hot-water.high-consumption,Evening,,UK,W,3,0,2010
ser.hot-water.low-consumption,Evening,,UK,W,3,0,2010
CO2f,Evening,,UK,W,3,0,2010
nga,Night,,UK,P,4,12.552,2010
bog,Night,,UK,P,4,0,2010
biomass,Night,,UK,P,4,10.019,2010
elc,Night,,UK,P,4,43.34267522,2010
oil,Night,,UK,P,4,19.7944343,2010
hco,Night,,UK,P,4,19.7944343,2010
lfo,Night,,UK,P,4,19.7944343,2010
