ProcessName,RegionName,Time,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Fuel,EndUse,Agent2
Unit,-,year,MGBP2020/PJ_a,-,MGBP2020/PJ_a,-,MGBP2020/PJ,-,PJ,%,PJ,years,-,PJ,%,-,-,-,new
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,0.000219760900140647,1,0.0,1,0,1,2.0,100,100000000.0,50.0,1.0,1,1.0,0.1,NGA,SER.COOLING.HIGH-CONSUMPTION,1
SCHP-CCG00 [SER.CHP: .00.COMBINED-CYCLE.NGA.],UK,2010,423.684210526316,1,16.8421052631579,1,0,1,2.0,100,100000000.0,25.0,0.326629417259473,1,0.545074179608265,0.1,NGA,SER.OTHER,1
SCHP-GES00 [SER.CHP: .00.GAS-ENGINE.BOG.],UK,2010,321.480421724848,1,23.487154098619,1,0,1,2.0,100,100000000.0,15.0,0.466916592248744,1,0.573374926668419,0.1,BOG,SER.OTHER,1
SCHP-STW00 [SER.CHP: .00.STEAM-TURBINE.BIOMASS.],UK,2010,534.534534534534,1,24.024024024024,1,0,1,2.0,100,100000000.0,25.0,0.580756673601325,1,0.881345840663435,0.1,BIOMASS,SER.OTHER,1
SCKELC000 [SER.COOKING: .00.ELC.],UK,2010,117.017780168132,1,5.85088900840658,1,0,1,2.0,100,100000000.0,14.0,1.0,1,0.9,0.1,ELC,SER.COOKING,1
SCKNGA000 [SER.COOKING: .00.NGA.],UK,2010,102.5,1,5.125,1,0,1,2.0,100,100000000.0,14.0,1.0,1,0.8,0.1,NGA,SER.COOKING,1
SCKOTH000 [SER.COOKING: .00.OIL.HEAT.],UK,2010,102.5,1,5.125,1,0,1,2.0,100,100000000.0,14.0,1.0,1,0.8,0.1,OIL,SER.COOKING,1
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,1110.59896698245,1,0.0,1,0,1,2.0,100,100000000.0,5.0,1.0,1,0.6,0.1,ELC,SER.COMPUTING,1
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,177.777777777778,1,5.33333333333333,1,0,1,2.0,100,100000000.0,20.0,1.0,1,3.0,0.1,ELC,SER.SPACE-HEAT.HIGH-CONSUMPTION,1
SHHBLRRC00 [SER.HEAT.HIGH-CONSUMPTION: .00.HCO.BOILER.STD.RADIATOR.],UK,2010,19.5,1,0.975,1,0,1,2.0,100,100000000.0,20.0,1.0,1,0.8,0.1,HCO,SER.SPACE-HEAT.HIGH-CONSUMPTION,1
SHHBLRRE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.BOILER.STD.RADIATOR.],UK,2010,4.66133942161339,1,0.23306697108067,1,0,1,2.0,100,100000000.0,20.0,1.0,1,1.0,0.1,ELC,SER.SPACE-HEAT.HIGH-CONSUMPTION,1
SHHBLRRG00 [SER.HEAT.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,2010,2.94901065449011,1,0.147450532724505,1,0,1,2.0,100,100000000.0,20.0,1.0,1,0.86,0.1,NGA,SER.SPACE-HEAT.HIGH-CONSUMPTION,1
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],UK,2010,3.53881278538813,1,0.176940639269406,1,0,1,2.0,100,100000000.0,20.0,1.0,1,0.86,0.1,LFO,SER.SPACE-HEAT.HIGH-CONSUMPTION,1
SHHBLRRW00 [SER.HEAT.HIGH-CONSUMPTION: .00.WOD.BOILER.STD.RADIATOR.],UK,2010,19.5015220700152,1,0.975076103500761,1,0,1,2.0,100,100000000.0,20.0,1.0,1,0.8,0.1,WOOD,SER.SPACE-HEAT.HIGH-CONSUMPTION,1
SHHDAIR00 [SER.HEAT.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,19.8952532271692,1,0.397905064543385,1,0,1,2.0,100,100000000.0,50.0,1.0,1,1.0,0.1,ELC,SER.SPACE-HEAT.HIGH-CONSUMPTION,1
SHHDRAD00 [SER.HEAT.HIGH-CONSUMPTION: .00.HTP.RADIATOR.],UK,2010,19.8952532271692,1,0.397905064543385,1,0,1,2.0,100,100000000.0,50.0,1.0,1,1.0,0.1,HCO,SER.SPACE-HEAT.HIGH-CONSUMPTION,1
SHHVACAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.HVAC.HFC.AIR.],UK,2010,177.777777777778,1,5.33333333333333,1,0,1,2.0,100,100000000.0,20.0,1.0,1,2.5,0.1,ELC,SER.SPACE-HEAT.HIGH-CONSUMPTION,1
SHLAHPRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.HEAT PUMP.AIR.RADIATOR.],UK,2010,29.0116584616099,1,2.90116584616099,1,0,1,2.0,100,100000000.0,20.0,1.0,1,2.5,0.1,ELC,SER.SPACE-HEAT.LOW-CONSUMPTION,1
SHLBLCRG00 [SER.HEAT.LOW-CONSUMPTION: .00.NGA.BOILER.CON.RADIATOR.],UK,2010,2.14606788620128,1,0.214606788620128,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.86,0.1,NGA,SER.SPACE-HEAT.LOW-CONSUMPTION,1
SHLBLCRO00 [SER.HEAT.LOW-CONSUMPTION: .00.OIL.BOILER.CON.RADIATOR.],UK,2010,3.52379047981198,1,0.704758095962395,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.86,0.1,OIL,SER.SPACE-HEAT.LOW-CONSUMPTION,1
SHLBLRRC00 [SER.HEAT.LOW-CONSUMPTION: .00.HCO.BOILER.STD.RADIATOR.],UK,2010,19.5,1,0.662366631543604,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.6,0.1,HCO,SER.SPACE-HEAT.LOW-CONSUMPTION,1
SHLBLRRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.BOILER.STD.RADIATOR.],UK,2010,4.50409309449651,1,0.450409309449651,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.95,0.1,ELC,SER.SPACE-HEAT.LOW-CONSUMPTION,1
SHLBLRRG00 [SER.HEAT.LOW-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,2010,2.14606788620128,1,0.214606788620128,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.67,0.1,NGA,SER.SPACE-HEAT.LOW-CONSUMPTION,1
SHLBLRRO00 [SER.HEAT.LOW-CONSUMPTION: .00.OIL.BOILER.STD.RADIATOR.],UK,2010,3.52379047981198,1,0.352379047981198,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.67,0.1,OIL,SER.SPACE-HEAT.LOW-CONSUMPTION,1
SHLBLRRW00 [SER.HEAT.LOW-CONSUMPTION: .00.WOD.BOILER.STD.RADIATOR.],UK,2010,10.2401881236641,1,1.02401881236641,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.7,0.1,WOOD,SER.SPACE-HEAT.LOW-CONSUMPTION,1
SHLDRAD00 [SER.HEAT.LOW-CONSUMPTION: .00.HTP.RADIATOR.],UK,2010,30.8462236202543,1,0.616924472405086,1,0,1,2.0,100,100000000.0,50.0,1.0,1,1.0,0.1,HCO,SER.SPACE-HEAT.LOW-CONSUMPTION,1
SHLDSTD00 [SER.HEAT.LOW-CONSUMPTION: .00.STANDALONE.DELIVERY.],UK,2010,0.00030600894353262,1,0.00030600894353262,1,0,1,2.0,100,100000000.0,50.0,1.0,1,1.0,0.1,LFO,SER.SPACE-HEAT.LOW-CONSUMPTION,1
SHLNSTRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.NIGHT-STORAGE.],UK,2010,16.944117689746,1,0.778756137528725,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.8,0.1,ELC,SER.SPACE-HEAT.LOW-CONSUMPTION,1
SHLSHTRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.],UK,2010,7.02451501574902,1,0.702451501574902,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.8,0.1,ELC,SER.SPACE-HEAT.LOW-CONSUMPTION,1
SHLSHTRG00 [SER.HEAT.LOW-CONSUMPTION: .00.NGA.RESISTANCE.STANDALONE.],UK,2010,7.02451501574902,1,0.686741723584409,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.67,0.1,NGA,SER.SPACE-HEAT.LOW-CONSUMPTION,1
SHLSHTRO00 [SER.HEAT.LOW-CONSUMPTION: .00.LFO.RESISTANCE.STANDALONE.],UK,2010,7.02451501574902,1,0.686741723584409,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.67,0.1,LFO,SER.SPACE-HEAT.LOW-CONSUMPTION,1
SHLSTGNT00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.NIGHT-STORAGE.HEAT-SUPPLY.],UK,2010,0.0001,1,0.0,1,0,1,2.0,100,100000000.0,15.0,1.0,1,1.0,0.1,ELC,SER.SPACE-HEAT.LOW-CONSUMPTION,1
